count_date,total_volume
2017-11-25,120075296
2017-11-26,100510324
2017-11-27,128075943
2017-11-28,132511813
2017-11-29,134342593
2017-11-30,136589286
2017-12-01,131257862
2017-12-02,106414397
2017-12-03,95512254
2017-12-04,127689842
2017-12-05,133071382
2017-12-06,135892293
2017-12-07,137639052
2017-12-08,141993451
2017-12-09,122237066
2017-12-10,106500591
2017-12-11,130360478
2017-12-12,135052695
2017-12-13,135304658
2017-12-14,139715204
2017-12-15,143180251
2017-12-16,123305629
2017-12-17,105965612
2017-12-18,131336335
2017-12-19,133249649
2017-12-20,137643164
2017-12-21,139396593
2017-12-22,136335702
2017-12-23,112195644
2017-12-24,96693566
2017-12-25,75734565
2017-12-26,86124497
2017-12-27,100298935
2017-12-28,101243708
2017-12-29,102712584
2017-12-30,91558681
2017-12-31,83532920
2018-01-01,76142988
2018-01-02,99960911
2018-01-03,105300975
2018-01-04,108453302
2018-01-05,112327492
2018-01-06,87916690
2018-01-07,88503601
2018-01-08,110257962
2018-01-09,114712795
2018-01-10,117947566
2018-01-11,119767849
2018-01-12,121020372
2018-01-13,103364430
2018-01-14,92758842
2018-01-15,117314018
2018-01-16,122178643
